Video ID,Title,URL,Thumbnail URL
szli9ow5P0c,"[루시/신예찬] 밴드 루시 바이올리니스트 국힙원탑 썰 | 230820 넌 혹시, 난 괜히 #LUCY",https://www.youtube.com/watch?v=szli9ow5P0c,https://i.ytimg.com/vi/szli9ow5P0c/hqdefault.jpg
aiP_4PqX26s,"[230820] LUCY Concert : 열, 다섯 | Vivaldi Four Seasons Summer Intro + 뜨거 직캠 | Full Focus",https://www.youtube.com/watch?v=aiP_4PqX26s,https://i.ytimg.com/vi/aiP_4PqX26s/hqdefault.jpg
QFLjAx7a-HU,"[4K] 230820 루시(LUCY) 최상엽 Missing Call + 넌 혹시, 난 괜히 직캠 (with 신예찬, 조원상, 신광일) / # 열, 다섯 막콘",https://www.youtube.com/watch?v=QFLjAx7a-HU,https://i.ytimg.com/vi/QFLjAx7a-HU/hqdefault.jpg
ASl0wQtdITk,[루시/최상엽] 헤이‼️떠오르는 떼창 맛집💕헤이‼️ㅣ230820 #내버려 - #LUCY #shorts,https://www.youtube.com/watch?v=ASl0wQtdITk,https://i.ytimg.com/vi/ASl0wQtdITk/hqdefault.jpg
R9LUi2XyKwE,"[4K] 230820 내버려 - 루시(LUCY) 최상엽 Focus @열, 다섯",https://www.youtube.com/watch?v=R9LUi2XyKwE,https://i.ytimg.com/vi/R9LUi2XyKwE/hqdefault.jpg
5rsLIAwOJz0,"230820 LUCY(루시) - 내버려 / LUCY 다섯 번째 단독 콘서트 열, 다섯",https://www.youtube.com/watch?v=5rsLIAwOJz0,https://i.ytimg.com/vi/5rsLIAwOJz0/hqdefault.jpg
xRweLNr2710,[4K] 230820 루시(LUCY) 맞네 최상엽 직캠,https://www.youtube.com/watch?v=xRweLNr2710,https://i.ytimg.com/vi/xRweLNr2710/hqdefault.jpg
i4WI8ig3gCA,"[루시(LUCY)] 맞네를 이을 역대급 떼창 📍230820 열,다섯",https://www.youtube.com/watch?v=i4WI8ig3gCA,https://i.ytimg.com/vi/i4WI8ig3gCA/hqdefault.jpg
8mH3c6CU9Sk,"[LUCY 루시 원상] 230820 감사하고 사랑해요 단독콘서트 열, 다섯",https://www.youtube.com/watch?v=8mH3c6CU9Sk,https://i.ytimg.com/vi/8mH3c6CU9Sk/hqdefault.jpg
lrqD6YAkk1I,"230820 LUCY 열,다섯 조깅 신예찬 바이올린 솔로",https://www.youtube.com/watch?v=lrqD6YAkk1I,https://i.ytimg.com/vi/lrqD6YAkk1I/hqdefault.jpg
